"taskId","length","completionTime","executingTime","waitTime","taskPriority","vmId","vmCapacity","vmLoadAtExecution"
80,450,0.58,0.15,0.43,10,19,3000,450
20,450,0.54,0.11,0.42,8,20,4000,700
116,50,0.29,0.01,0.28,8,21,4000,1250
22,150,0.35,0.03,0.32,8,22,5000,1150
136,850,0.45,0.17,0.28,7,23,5000,1650
171,850,0.57,0.17,0.4,9,32,5000,850
172,950,0.59,0.19,0.4,7,33,5000,950
67,650,0.65,0.22,0.43,10,36,3000,650
37,950,0.57,0.19,0.38,10,37,5000,950
139,250,0.74,0.06,0.68,9,38,4000,250
102,50,0.61,0.01,0.6,10,42,4000,50
178,50,0.31,0.01,0.3,5,43,4000,1300
149,750,0.51,0.15,0.36,7,46,5000,1450
191,650,0.55,0.13,0.42,4,48,5000,950
78,250,0.56,0.05,0.51,9,2,5000,750
51,50,0.42,0.01,0.41,10,10,5000,800
163,250,0.5,0.05,0.45,7,18,5000,600
94,250,0.6,0.06,0.54,9,20,4000,250
152,950,0.53,0.24,0.29,8,21,4000,1200
186,250,0.4,0.05,0.35,8,22,5000,1000
199,450,0.54,0.09,0.45,7,23,5000,800
43,450,0.42,0.11,0.31,9,43,4000,1250
83,450,0.6,0.09,0.51,9,46,5000,700
66,250,0.6,0.05,0.55,9,48,5000,300
89,250,0.61,0.05,0.56,9,2,5000,500
109,750,0.57,0.15,0.42,10,10,5000,750
82,350,0.57,0.07,0.5,8,18,5000,350
21,250,0.59,0.06,0.53,9,21,4000,250
144,750,0.55,0.15,0.4,9,22,5000,750
59,350,0.61,0.07,0.54,10,23,5000,350
103,50,0.44,0.01,0.42,9,43,4000,800
63,250,0.65,0.05,0.6,10,46,5000,250
129,50,0.61,0.01,0.6,10,48,5000,50
115,250,0.66,0.05,0.61,10,2,5000,250
180,750,0.63,0.19,0.44,9,43,4000,750
